Order ID,Date,Product,Price,Zipcode
1,2023-10-24,Oranges,3.15,12816
2,2023-11-26,Water,34.53,14728
2,2023-11-26,Sugar,84.42,14728
2,2023-11-26,Bananas,78.13,14728
3,2023-10-23,Tomatoes,22.83,10545
3,2023-10-23,Kale,75.29,10545
3,2023-10-23,Sugar,9.84,10545
3,2023-10-23,Eggs,15.61,10545
3,2023-10-23,Vinegar,55.48,10545
3,2023-10-23,Nuts,98.0,10545
3,2023-10-23,Lettuce,67.3,10545
3,2023-10-23,Quinoa,51.14,10545
3,2023-10-23,Yogurt,58.32,10545
3,2023-10-23,Sugar,24.54,10545
3,2023-10-23,Tomatoes,67.4,10545
3,2023-10-23,Apples,34.14,10545
3,2023-10-23,Sugar,84.61,10545
3,2023-10-23,Carrots,20.35,10545
3,2023-10-23,Apples,72.89,10545
3,2023-10-23,Juice,52.19,10545
3,2023-10-23,Vinegar,26.66,10545
3,2023-10-23,Bananas,65.89,10545
4,2024-01-26,Flour,94.83,12056
4,2024-01-26,Bananas,82.2,12056
4,2024-01-26,Nuts,29.08,12056
4,2024-01-26,Xylitol,82.75,12056
4,2024-01-26,Honey,98.84,12056
4,2024-01-26,Bananas,7.19,12056
4,2024-01-26,Oranges,28.84,12056
4,2024-01-26,Honey,52.38,12056
4,2024-01-26,Flour,48.64,12056
4,2024-01-26,Kale,12.82,12056
4,2024-01-26,Sugar,15.93,12056
5,2024-04-19,Rice,62.03,10086
5,2024-04-19,Yogurt,44.11,10086
5,2024-04-19,Tomatoes,59.57,10086
5,2024-04-19,Eggs,75.42,10086
5,2024-04-19,Ice Cream,74.26,10086
5,2024-04-19,Yogurt,82.0,10086
6,2024-03-13,Lettuce,51.98,13442
6,2024-03-13,Ice Cream,29.98,13442
6,2024-03-13,Bananas,12.54,13442
6,2024-03-13,Yogurt,11.27,13442
6,2024-03-13,Quinoa,35.94,13442
6,2024-03-13,Carrots,1.25,13442
6,2024-03-13,Tomatoes,98.68,13442
6,2024-03-13,Honey,18.39,13442
7,2024-02-23,Eggs,2.12,10992
7,2024-02-23,Flour,12.22,10992
7,2024-02-23,Zucchini,41.38,10992
